section,label,value,series,choice_order,notes
renard_numbers,2.8,2.8,R20,3,May be multiplied or divided by powers of 10.
renard_numbers,3.55,3.55,R20,3,May be multiplied or divided by powers of 10.
renard_numbers,4.5,4.5,R20,3,May be multiplied or divided by powers of 10.
renard_numbers,5.6,5.6,R20,3,May be multiplied or divided by powers of 10.
renard_numbers,7.1,7.1,R20,3,May be multiplied or divided by powers of 10.
renard_numbers,9,9.0,R20,3,May be multiplied or divided by powers of 10.
renard_numbers,1.06,1.06,R40,4,May be multiplied or divided by powers of 10.
renard_numbers,1.18,1.18,R40,4,May be multiplied or divided by powers of 10.
renard_numbers,1.32,1.32,R40,4,May be multiplied or divided by powers of 10.
renard_numbers,1.5,1.5,R40,4,May be multiplied or divided by powers of 10.
renard_numbers,1.7,1.7,R40,4,May be multiplied or divided by powers of 10.
renard_numbers,1.9,1.9,R40,4,May be multiplied or divided by powers of 10.
renard_numbers,2.12,2.12,R40,4,May be multiplied or divided by powers of 10.
renard_numbers,2.36,2.36,R40,4,May be multiplied or divided by powers of 10.
renard_numbers,2.65,2.65,R40,4,May be multiplied or divided by powers of 10.
renard_numbers,3,3.0,R40,4,May be multiplied or divided by powers of 10.
renard_numbers,3.35,3.35,R40,4,May be multiplied or divided by powers of 10.
renard_numbers,3.75,3.75,R40,4,May be multiplied or divided by powers of 10.
renard_numbers,4.25,4.25,R40,4,May be multiplied or divided by powers of 10.
renard_numbers,4.75,4.75,R40,4,May be multiplied or divided by powers of 10.
renard_numbers,5.3,5.3,R40,4,May be multiplied or divided by powers of 10.
renard_numbers,6,6.0,R40,4,May be multiplied or divided by powers of 10.
renard_numbers,6.7,6.7,R40,4,May be multiplied or divided by powers of 10.
renard_numbers,7.5,7.5,R40,4,May be multiplied or divided by powers of 10.
renard_numbers,8.5,8.5,R40,4,May be multiplied or divided by powers of 10.
renard_numbers,9.5,9.5,R40,4,May be multiplied or divided by powers of 10.
